source_center,destination_center,n,med_dist,segment,cur,exp_t_ftl,exp_t_cart,ftl_gain_pct,src_btw,rec,rec_type,flip
IND302014AAA,IND301001AAB,7,113.60720734823424,CONTESTABLE,FTL,211.26770969143848,269.4488188976378,21.592638425445095,0.03559579159619107,FTL (upgrade),FTL,False
IND302014AAA,IND303702AAB,3,43.444468076101806,CONTESTABLE,FTL,80.8157894736842,72.84375,-10.944026733500412,0.03559579159619107,Carting (hold),Carting,True
IND302014AAA,IND305001AAC,3,127.12267781944374,CONTESTABLE,FTL,267.4766355140187,246.22047244094486,-8.632979565974988,0.03559579159619107,Carting (hold),Carting,True
IND302014AAA,IND313001AAB,4,320.0344654880695,TRUNK,FTL,564.1137931034483,636.0857142857143,11.314814900863809,0.03559579159619107,FTL (structural),FTL,False
IND302014AAA,IND332404AAA,1,70.36300801020245,CONTESTABLE,FTL,108.16216216216216,114.1875,5.276705276705277,0.03559579159619107,Carting (hold),Carting,True
IND302014AAB,IND302004AAA,6,11.864097586086265,LAST-MILE,Carting,31.57894736842105,35.970588235294116,12.208977062443513,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND302006AAA,4,11.07943676112902,LAST-MILE,Carting,29.605263157894736,29.090073529411768,-1.7710152157645163,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND302006AAC,7,14.1746979718773,LAST-MILE,Carting,35.526315789473685,48.375,26.560587515299876,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND302020AAA,5,9.513291464452402,LAST-MILE,Carting,21.710526315789473,22.916666666666668,5.263157894736855,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND302023AAA,7,19.38450164479714,LAST-MILE,Carting,41.44736842105263,56.58466819221968,26.7515923566879,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND302026AAA,6,14.38429339549711,LAST-MILE,Carting,33.55263157894737,65.16666666666667,48.51258581235698,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND303301AAB,2,22.22858926867163,LAST-MILE,Carting,60.19736842105263,40.03125,-50.37593984962406,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND303303AAA,2,52.22361645699577,CONTESTABLE,Carting,96.97297297297297,102.375,5.276705276705274,7.490096428056237e-05,Carting (hold),Carting,False
IND302014AAB,IND303901AAA,4,22.056778296741342,LAST-MILE,Carting,34.53947368421053,54.583333333333336,36.72157492969064,7.490096428056237e-05,Carting (structural),Carting,False
IND302014AAB,IND304001AAA,1,68.46415100636571,CONTESTABLE,Carting,111.8918918918919,118.125,5.276705276705268,7.490096428056237e-05,Carting (hold),Carting,False
IND302020AAA,IND302014AAB,6,9.538852366569412,LAST-MILE,Carting,21.710526315789473,31.77777777777778,31.680161943319842,0.0,Carting (structural),Carting,False
IND302026AAA,IND302014AAB,1,15.29201961784921,LAST-MILE,Carting,33.55263157894737,39.230769230769226,14.473684210526303,0.0,Carting (structural),Carting,False
IND303002AAA,IND302014AAA,3,38.78864883298032,CONTESTABLE,FTL,60.0,68.90625,12.92517006802721,0.0,Carting (hold),Carting,True
IND303106AAA,IND302014AAA,1,66.03982689311725,CONTESTABLE,FTL,108.16216216216216,114.1875,5.276705276705277,0.00040541633047098046,Carting (hold),Carting,True
IND303106AAA,IND303002AAA,3,25.507698394735037,CONTESTABLE,FTL,30.217391304347828,39.375,23.25741890959282,0.00040541633047098046,FTL (upgrade),FTL,False
IND303108AAB,IND303106AAA,3,40.413748166596406,CONTESTABLE,FTL,46.22580645161291,59.0625,21.73408431472946,0.0,FTL (upgrade),FTL,False
IND303301AAB,IND303303AAA,2,29.19451176408458,CONTESTABLE,Carting,41.95945945945947,32.97321428571429,-27.253167058203616,0.0,Carting (hold),Carting,False
IND303303AAA,IND322230AAA,3,68.83773520879713,CONTESTABLE,Carting,141.72972972972974,102.64935064935065,-38.07172557172558,2.1400275508732105e-05,Carting (hold),Carting,False
IND303338AAB,IND303603AAB,1,32.85843846319136,CONTESTABLE,Carting,110.02702702702703,55.89473684210526,-96.84684684684686,6.340822372957661e-06,Carting (hold),Carting,False
IND303503AAA,IND302014AAB,3,54.93766839652751,CONTESTABLE,Carting,110.02702702702703,101.81661442006269,-8.063922232859579,0.0,Carting (hold),Carting,False
IND303603AAB,IND302014AAB,1,59.96888600344785,CONTESTABLE,Carting,136.13513513513513,180.527027027027,24.590163934426222,1.664465872901386e-05,Carting (hold),Carting,False
IND303702AAB,IND332001AAB,1,74.49223882450762,CONTESTABLE,FTL,104.0,122.0625,14.797747055811572,0.006118893589904143,FTL (upgrade),FTL,False
IND303702AAB,IND332404AAA,3,27.17448897007217,CONTESTABLE,FTL,37.0,47.25,21.693121693121693,0.006118893589904143,FTL (upgrade),FTL,False
IND303901AAA,IND304001AAA,1,49.40210375549261,CONTESTABLE,Carting,72.72972972972973,76.78125,5.2767052767052816,5.548219576337954e-06,Carting (hold),Carting,False
IND304001AAA,IND322001AAC,1,56.85870757151636,CONTESTABLE,Carting,108.16216216216216,114.1875,5.276705276705277,0.0,Carting (hold),Carting,False
IND305001AAC,IND305802AAA,5,27.865493255233915,CONTESTABLE,FTL,54.925925925925924,49.21875,-11.59553203997648,0.010097363327536765,Carting (hold),Carting,True
IND305001AAC,IND305901AAA,5,44.766801183053786,CONTESTABLE,FTL,90.88636363636363,84.65625,-7.359307359307347,0.010097363327536765,Carting (hold),Carting,True
IND305001AAC,IND306401AAB,3,145.56119026051317,CONTESTABLE,FTL,246.49596774193546,285.70866141732284,13.724712957900504,0.010097363327536765,FTL (upgrade),FTL,False
IND305001AAC,IND342602AAC,1,92.73170803131492,CONTESTABLE,FTL,189.66021675656953,222.99212598425197,14.94757228783782,0.010097363327536765,FTL (upgrade),FTL,False
IND305404AAA,IND305001AAC,1,75.7427611093041,CONTESTABLE,FTL,173.85519869352206,204.40944881889763,14.94757228783782,0.002828403079737427,FTL (upgrade),FTL,False
IND305404AAA,IND305601AAC,4,53.62130740129405,CONTESTABLE,FTL,80.0,108.28125,26.118326118326117,0.002828403079737427,FTL (upgrade),FTL,False
IND305601AAC,IND305001AAC,5,21.30355562334615,LAST-MILE,FTL,67.0,78.46153846153845,14.607843137254893,0.002823251161559399,Carting (structural),Carting,True
IND305624AAA,IND305404AAA,4,50.4654495978395,CONTESTABLE,FTL,131.61971830985914,137.8125,4.493628437290419,0.002833554997915455,Carting (hold),Carting,True
IND305802AAA,IND341512AAA,2,33.81223853948045,CONTESTABLE,FTL,76.28565062388591,71.859375,-6.159635571400273,0.0016351395694264568,Carting (hold),Carting,True
IND305901AAA,IND305624AAA,1,90.05822936552894,CONTESTABLE,FTL,169.9039441777602,199.76377952755905,14.94757228783782,0.0,Carting (hold),Carting,True
